,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,moving_avg,trend_change,TriggerSell,TriggerBuy
98,22,202409181115,1.1127200000000002,1.11238,1.11259,1.11264,2015,m15,1,,,1.113080882541826,1.1129401379299466,1,0,1.1126500000000008,0,0,0
99,64,202409181115,1.1127200000000002,1.11256,1.11257,1.11264,622,m5,1,,,1.1129858036314444,1.1131415761376224,0,1,1.1126360000000006,0,0,0
100,65,202409181120,1.11269,1.11238,1.11269,1.11257,767,m5,1,,,1.1129320210577796,1.1131225069468504,0,1,1.1126700000000007,0,0,0
101,66,202409181125,1.1127,1.11251,1.11259,1.11269,626,m5,1,,,1.1128698353208304,1.1131000877391954,0,1,1.1126160000000005,0,0,0
102,67,202409181130,1.11259,1.11235,1.11251,1.11259,520,m5,1,,,1.1128044106395023,1.113075315789274,0,1,1.1125900000000006,0,0,0
103,12,202409181130,1.11264,1.1122299999999998,1.11243,1.11259,3991,m30,1,,,1.112917544187882,1.1128459466949483,1,0,1.1125580000000006,0,0,0
104,23,202409181130,1.11259,1.1122299999999998,1.11249,1.11259,1821,m15,1,,,1.1129725722190351,1.1129115350093908,1,0,1.1125420000000008,0,0,0
105,68,202409181135,1.11259,1.1122299999999998,1.11232,1.11251,525,m5,1,1.0,,1.1127163358923684,1.1130436949606144,-1,1,1.1124680000000007,-1,0,0
106,69,202409181140,1.11255,1.11226,1.11249,1.11232,776,m5,1,,,1.112675183879288,1.1130205760981555,0,1,1.1124480000000008,0,0,0
107,70,202409181145,1.11264,1.11237,1.11257,1.11249,750,m5,1,,,1.112656059525185,1.1130018104679973,0,1,1.1124600000000007,0,0,0
108,24,202409181145,1.11264,1.11226,1.11243,1.11249,2170,m15,1,,,1.1128732647220143,1.1128816637132657,1,0,1.1124600000000007,0,0,0
109,71,202409181150,1.1126,1.1123299999999998,1.1124,1.11257,613,m5,1,,,1.1126095032231522,1.1129768070346822,0,1,1.1124420000000006,0,0,0
110,72,202409181155,1.11256,1.11226,1.11243,1.1124,807,m5,1,,,1.1125768662593056,1.1129541416708657,0,1,1.1124640000000006,0,0,0
111,73,202409181200,1.11261,1.11235,1.11255,1.11243,934,m5,1,,,1.1125719814831496,1.112937427193624,0,1,1.1124760000000005,0,0,0
