,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,trend,trend_line,ema_short,ema_long,rsi,buy,sell
510,202507030005,1.1803,1.1798,1.1798,1.18024,602,m5,1,1.0,,1,1.1799479999999982,1.179948143501022,1.1799029023002912,49.05660377358596,0,0
511,202507030010,1.18015,1.1798,1.18011,1.1798,534,m5,1,,,1,1.1800019999999982,1.1799775719553816,1.1799226258907398,54.74860335195434,0,0
512,202507030015,1.1807,1.1801,1.18053,1.18011,890,m5,1,,,1,1.1801079999999984,1.1800780134180395,1.1799804710440027,64.22018348623666,0,0
513,202507030020,1.1806699999999999,1.18038,1.18039,1.18053,759,m5,1,,,1,1.1802139999999983,1.1801347382511234,1.180019473801717,59.29203539822957,0,0
514,202507030025,1.18042,1.18013,1.18035,1.18039,453,m5,1,,,1,1.1802359999999983,1.1801738767509191,1.1800509524872678,57.89473684210167,0,0
515,202507030030,1.1804999999999999,1.18016,1.18017,1.18035,496,m5,1,,,1,1.1803099999999982,1.1801731718871156,1.1800622903456233,54.320987654321215,0,0
516,202507030035,1.18045,1.18007,1.1803299999999999,1.18017,482,m5,1,,,1,1.1803539999999981,1.1802016860894582,1.180087786503183,57.14285714285592,0,0
517,202507030040,1.18079,1.1803299999999999,1.18076,1.1803299999999999,505,m5,1,,,1,1.1803999999999983,1.1803031977095568,1.180151806836213,62.75167785234874,0,0
518,202507030045,1.18085,1.18057,1.18064,1.18076,507,m5,1,,,1,1.1804499999999982,1.1803644344896373,1.1801983014232402,60.91205211726097,0,0
519,202507030050,1.18087,1.18063,1.18077,1.18064,876,m5,1,,,1,1.1805339999999982,1.1804381736733396,1.1802527489067411,62.38244514106422,0,0
520,202507030055,1.18083,1.18055,1.18065,1.18077,745,m5,1,,,1,1.1806299999999983,1.180476687550914,1.1802905823441943,62.77602523658955,0,0
521,202507030100,1.18098,1.18047,1.18081,1.18065,836,m5,1,,,1,1.1807259999999984,1.1805372898143842,1.180340050692366,62.77602523658955,0,0
522,202507030105,1.18082,1.1804999999999999,1.18069,1.18081,475,m5,1,,,1,1.1807119999999984,1.180565055302678,1.180373379197855,63.17460317460216,0,0
523,202507030110,1.18098,1.1806699999999999,1.18089,1.18069,469,m5,1,,,1,1.1807619999999983,1.1806241361567367,1.1804225811790117,60.942760942759456,0,0
524,202507030115,1.18101,1.18089,1.18097,1.18089,427,m5,1,,,1,1.1808019999999984,1.1806870204918756,1.1804747163048201,72.41379310344476,0,0
525,202507030120,1.181,1.18075,1.181,1.18097,454,m5,1,,1.0,1,1.1808719999999984,1.1807439258569892,1.1805247433234087,69.09871244634817,-1,1
526,202507030125,1.181,1.18086,1.1809399999999999,1.181,366,m5,1,,,1,1.1808979999999982,1.1807795757011728,1.180564291578322,60.40609137054962,0,0
527,202507030130,1.18096,1.18076,1.18082,1.1809399999999999,482,m5,1,,,1,1.180923999999998,1.1807869255736867,1.1805886447613392,61.02564102563606,0,0
528,202507030135,1.18093,1.18082,1.18091,1.18082,420,m5,1,,,1,1.1809279999999982,1.1808093027421072,1.1806192500221642,63.99999999999422,0,0
529,202507030140,1.18091,1.18066,1.18072,1.18091,410,m5,1,,,1,1.180877999999998,1.1807930658799057,1.1806288452581486,63.68159203980028,0,0
530,202507030145,1.18086,1.18063,1.18078,1.18072,409,m5,1,,,1,1.1808339999999982,1.1807906902653773,1.1806432409478487,61.78010471204164,0,0
531,202507030150,1.18079,1.18043,1.18048,1.18078,436,m5,1,,,1,1.1807419999999982,1.1807342011262179,1.1806276941909106,42.134831460673034,0,0
532,202507030155,1.18057,1.18038,1.18044,1.18048,504,m5,1,,,1,1.1806659999999982,1.1806807100123602,1.180609818553681,44.117647058824296,0,0
533,202507030200,1.18047,1.18031,1.18034,1.18044,454,m5,1,,,1,1.1805519999999983,1.1806187627373856,1.1805841215485686,37.125748502988195,0,0
534,202507030205,1.18036,1.17981,1.17986,1.18034,631,m5,1,,,-1,1.1803799999999982,1.1804808058760428,1.180515157591562,30.541871921178227,0,0
535,202507030210,1.17986,1.1796,1.17984,1.17986,714,m5,1,,,-1,1.1801919999999981,1.1803642957167622,1.180450856868556,24.33862433862285,0,0
536,202507030215,1.17986,1.17956,1.17962,1.17984,478,m5,1,,,-1,1.180019999999998,1.1802289692228054,1.1803717276429795,23.115577889443202,0,0
537,202507030220,1.17967,1.1794499999999999,1.17952,1.17962,452,m5,1,,,-1,1.179835999999998,1.18010006572775,1.1802906107246005,13.756613756610264,0,0
