,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
552,202507141050,96.715,96.69200000000001,96.69600000000001,96.69300000000001,681,m5,1,0,0,96.71556984498906,96.71917568675535,0,0,0,0,0,96.93010903426804,96.55299327194014,,,0,,
553,202507141055,96.714,96.667,96.68400000000001,96.69600000000001,962,m5,1,0,0,96.70982987317286,96.71547298288637,0,0,0,0,0,96.93068224299078,96.55313553358219,,,0,,
554,202507141100,96.717,96.68400000000001,96.703,96.68400000000001,934,m5,1,0,0,96.70858807805052,96.71416003731939,0,0,0,0,0,96.93125545171353,96.55329174842969,,,0,,
555,202507141105,96.726,96.68900000000001,96.718,96.703,1036,m5,1,0,0,96.71029933658679,96.71456424391734,0,0,0,0,0,96.93182866043625,96.55346191648265,,,0,,
556,202507141110,96.753,96.718,96.735,96.718,662,m5,1,0,0,96.71479036629827,96.71671537613656,0,0,0,0,0,96.93240186915901,96.55364603774107,,,0,,
557,202507141115,96.763,96.73400000000001,96.74300000000001,96.735,855,m5,1,0,0,96.71991939060769,96.7194821786485,0,0,0,0,0,96.93297507788175,96.55384411220493,,,0,,
558,202507141120,96.76100000000001,96.73700000000001,96.75500000000001,96.74300000000001,881,m5,1,0,0,96.72629768322446,96.7232208966855,0,0,0,0,0,96.93354828660449,96.55405613987426,,,0,,
559,202507141125,96.762,96.732,96.741,96.75500000000001,694,m5,1,0,0,96.7289708317291,96.72509238124493,0,0,0,0,0,96.93412149532723,96.55428212074905,,,0,,
560,202507141130,96.742,96.709,96.727,96.741,746,m5,1,0,0,96.72861249868744,96.72529318321915,0,0,0,0,0,96.93469470404996,96.55452205482929,,,0,,
561,202507141135,96.771,96.718,96.769,96.727,804,m5,1,0,0,96.73595568074427,96.72989390077502,0,0,0,0,0,96.9352679127727,96.55477594211497,,,0,,
562,202507141140,96.80600000000001,96.766,96.805,96.769,844,m5,1,0,0,96.74850919333622,96.7377998059566,0,0,0,0,0,96.93584112149546,96.55504378260612,,,0,,
563,202507141145,96.825,96.774,96.824,96.805,1188,m5,1,0,0,96.76223479454782,96.74687351059274,0,0,0,0,0,96.9364143302182,96.5553255763027,,,0,,
564,202507141150,96.82600000000001,96.783,96.78800000000001,96.824,1064,m5,1,0,0,96.76691937735731,96.75120261474086,0,0,0,0,0,96.93698753894094,96.55562132320476,,,0,,
565,202507141155,96.802,96.784,96.789,96.78800000000001,967,m5,1,0,0,96.77093403601961,96.75518128687341,0,0,0,0,0,96.93756074766367,96.55593102331228,,,0,,
566,202507141200,96.789,96.747,96.751,96.789,1115,m5,1,0,0,96.76730966583422,96.75474115141306,0,0,0,0,0,96.93813395638641,96.55625467662523,,,0,,
567,202507141205,96.76700000000001,96.74900000000001,96.74900000000001,96.751,779,m5,1,0,0,96.76398063568254,96.75413681968536,0,0,0,0,0,96.93870716510915,96.55659228314366,,,0,,
568,202507141210,96.77300000000001,96.706,96.71900000000001,96.74900000000001,1005,m5,1,0,0,96.75580233828572,96.7504382070869,0,0,0,0,0,96.93928037383189,96.55694384286753,,,0,,
569,202507141215,96.732,96.7,96.72200000000001,96.71900000000001,1024,m5,1,0,0,96.7496564585974,96.74744471160406,0,0,0,0,0,96.93985358255465,96.55730935579686,,,0,,
570,202507141220,96.736,96.705,96.71600000000001,96.72200000000001,1094,m5,1,0,0,96.74353710248879,96.74413474196153,0,0,0,0,0,96.94042679127737,96.55768882193165,,,0,,
571,202507141225,96.733,96.708,96.73100000000001,96.71600000000001,806,m5,1,0,0,96.741257629309,96.74275213754453,0,0,0,0,0,96.94100000000012,96.55808224127188,,,0,,
