timestamp,trade_id,instrument,side,open_price,current_price,current_pips,max_pips,action,details
2025-09-25T09:16:00.623503+01:00,69090563,GBP/USD,B,1.34376,1.34476,10.0,10.0,MONITOR,"Monitoring - Current: 10.0, Max: 10.0"
2025-09-25T09:17:00.096734+01:00,69090563,GBP/USD,B,1.34376,1.34472,9.6,10.0,DECLINING,"Pips declining: 9.6 (max was: 10.0, declining count: 1)"
2025-09-25T09:18:00.583507+01:00,69090563,GBP/USD,B,1.34376,1.3449,11.4,11.4,NEW_HIGH,New pip high reached: 11.4 (previous max: 10.0)
2025-09-25T09:19:00.097485+01:00,69090563,GBP/USD,B,1.34376,1.34492,11.6,11.6,NEW_HIGH,New pip high reached: 11.6 (previous max: 11.4)
2025-09-25T09:20:00.600217+01:00,69090563,GBP/USD,B,1.34376,1.34501,12.5,12.5,NEW_HIGH,New pip high reached: 12.5 (previous max: 11.6)
2025-09-25T09:21:00.126100+01:00,69090563,GBP/USD,B,1.34376,1.34494,11.8,12.5,DECLINING,"Pips declining: 11.8 (max was: 12.5, declining count: 1)"
2025-09-25T09:22:00.588036+01:00,69090563,GBP/USD,B,1.34376,1.34483,10.7,10.7,AUTO_CLOSE,Auto-closed due to pip decline from 12.5 to 10.7 (Success: True)
2025-09-25T09:59:00.341104+01:00,69090578,EUR/USD,S,1.17422,1.1743000000000001,-0.8,-0.8,TRACK_START,Started tracking trade - Initial pips: -0.8
2025-09-25T10:00:00.835686+01:00,69090578,EUR/USD,S,1.17422,1.17429,-0.7,-0.7,NEW_HIGH,New pip high reached: -0.7 (previous max: -0.8)
2025-09-25T10:01:00.276698+01:00,69090578,EUR/USD,S,1.17422,1.17436,-1.4,-0.7,DECLINING,"Pips declining: -1.4 (max was: -0.7, declining count: 1)"
2025-09-25T10:02:00.752586+01:00,69090578,EUR/USD,S,1.17422,1.17435,-1.3,-0.7,MONITOR,"Monitoring - Current: -1.3, Max: -0.7"
2025-09-25T10:02:00.755108+01:00,69090580,GBP/USD,S,1.3453,1.34526,0.4,0.4,TRACK_START,Started tracking trade - Initial pips: 0.4
2025-09-25T10:03:00.215279+01:00,69090578,EUR/USD,S,1.17422,1.17439,-1.7,-0.7,DECLINING,"Pips declining: -1.7 (max was: -0.7, declining count: 1)"
2025-09-25T10:03:00.219267+01:00,69090580,GBP/USD,S,1.3453,1.34514,1.6,1.6,NEW_HIGH,New pip high reached: 1.6 (previous max: 0.4)
2025-09-25T10:04:00.716368+01:00,69090578,EUR/USD,S,1.17422,1.17442,-2.0,-0.7,DECLINING,"Pips declining: -2.0 (max was: -0.7, declining count: 2)"
2025-09-25T10:04:00.716368+01:00,69090580,GBP/USD,S,1.3453,1.34506,2.4,2.4,NEW_HIGH,New pip high reached: 2.4 (previous max: 1.6)
2025-09-25T10:05:00.227880+01:00,69090578,EUR/USD,S,1.17422,1.17439,-1.7,-0.7,MONITOR,"Monitoring - Current: -1.7, Max: -0.7"
2025-09-25T10:05:00.231913+01:00,69090580,GBP/USD,S,1.3453,1.34498,3.2,3.2,NEW_HIGH,New pip high reached: 3.2 (previous max: 2.4)
2025-09-25T10:06:00.745238+01:00,69090578,EUR/USD,S,1.17422,1.17439,-1.7,-0.7,MONITOR,"Monitoring - Current: -1.7, Max: -0.7"
2025-09-25T10:06:00.748228+01:00,69090580,GBP/USD,S,1.3453,1.34507,2.3,3.2,DECLINING,"Pips declining: 2.3 (max was: 3.2, declining count: 1)"
2025-09-25T10:07:00.249465+01:00,69090578,EUR/USD,S,1.17422,1.17446,-2.4,-0.7,DECLINING,"Pips declining: -2.4 (max was: -0.7, declining count: 1)"
