timestamp,instrument,timeframe,action,side,price,signal_date,details
2025-12-16T13:43:12.835691+00:00,GBP/USD,m1,OPEN,B,1.34212,202512161341,BUY signal
2025-12-16T13:46:05.789835+00:00,EUR/USD,m1,OPEN,B,1.17634,202512161344,BUY signal
2025-12-16T13:46:11.746197+00:00,USD/JPY,m1,OPEN,S,154.844,202512161344,SELL signal
2025-12-16T13:46:12.932530+00:00,GBP/USD,m1,OPEN,B,1.34146,202512161344,BUY signal
2025-12-16T14:35:12.090005+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69140124
2025-12-16T14:35:12.105035+00:00,GBP/USD,m1,OPEN,S,1.34354,202512161433,SELL signal
2025-12-16T14:35:12.140762+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69140124
2025-12-16T15:15:06.167948+00:00,GBP/USD,m1,OPEN,B,1.34224,202512161513,BUY signal
2025-12-16T15:22:14.127878+00:00,GBP/USD,m1,OPEN,B,1.34084,202512161520,BUY signal
2025-12-16T15:27:13.761976+00:00,EUR/USD,m1,OPEN,B,1.17777,202512161525,BUY signal
2025-12-16T15:58:06.282922+00:00,EUR/USD,m1,OPEN,B,1.17691,202512161556,BUY signal
2025-12-16T16:15:05.647017+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69140186
2025-12-16T16:15:05.667640+00:00,GBP/USD,m1,OPEN,S,1.34237,202512161613,SELL signal
2025-12-16T16:15:05.705126+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69140186
2025-12-16T17:35:13.011419+00:00,USD/JPY,m1,OPEN,B,154.601,202512161733,BUY signal
2025-12-16T18:06:06.315524+00:00,EUR/USD,m1,OPEN,B,1.17575,202512161804,BUY signal
2025-12-16T18:06:12.699894+00:00,GBP/USD,m1,OPEN,B,1.34193,202512161804,BUY signal
2025-12-16T19:43:11.451138+00:00,GBP/USD,m1,OPEN,S,1.34284,202512161941,SELL signal
2025-12-16T19:45:12.469682+00:00,EUR/USD,m1,OPEN,S,1.17588,202512161943,SELL signal
2025-12-16T20:33:10.000213+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69140268
2025-12-16T20:33:10.015473+00:00,USD/JPY,m1,OPEN,S,154.695,202512162031,SELL signal
2025-12-16T20:33:10.049729+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69140268
2025-12-16T21:02:05.788378+00:00,USD/JPY,m1,OPEN,S,154.831,202512162100,SELL signal
2025-12-16T21:03:12.728029+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69140417
2025-12-16T21:03:12.731396+00:00,GBP/USD,m1,OPEN,B,1.34218,202512162101,BUY signal
2025-12-16T21:03:12.738148+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69140417
2025-12-22T02:43:33.194758+00:00,USD/JPY,m1,OPEN,S,157.37099999999998,202512220241,SELL signal
