,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
80,202509261429,1.39444,1.39423,1.39443,1.39435,266,m1,1.3937324565926847,1.3938209248917959,1.39384936368829,0,0,1.3937324565926847,1.39384936368829,1.2,1,0,1,1
81,202509261430,1.39465,1.39442,1.3946399999999999,1.39443,236,m1,1.3937414868753446,1.3938371442008692,1.3938688855725299,0,1,1.3937414868753446,1.3938688855725299,1.3,1,0,1,1
82,202509261431,1.39467,1.3944,1.39451,1.3946399999999999,262,m1,1.3937491337721073,1.3938504680780797,1.3938847155583933,0,0,1.3937491337721073,1.3938847155583933,1.4,1,0,1,1
83,202509261432,1.39467,1.3945,1.39461,1.39451,202,m1,1.3937576996052208,1.3938655083141573,1.3939026238162107,0,0,1.3937576996052208,1.3939026238162107,1.4,1,0,1,1
84,202509261433,1.39462,1.39444,1.39445,1.39461,263,m1,1.393764588166363,1.3938770824069462,1.3939161392775388,0,0,1.393764588166363,1.3939161392775388,1.5,1,0,1,1
85,202509261434,1.39455,1.39442,1.39453,1.39445,114,m1,1.3937722042045086,1.393890011468195,1.3939312963324144,0,0,1.3937722042045086,1.3939312963324144,1.6,1,0,1,1
86,202509261435,1.39454,1.39439,1.39441,1.39453,243,m1,1.3937785504313294,1.393900308270805,1.3939431161760585,0,0,1.3937785504313294,1.3939431161760585,1.6,1,0,1,1
87,202509261436,1.39446,1.39434,1.3944,1.39441,232,m1,1.393784734009127,1.3939102031565316,1.393954397258131,0,0,1.393784734009127,1.393954397258131,1.7,1,0,1,1
88,202509261437,1.39442,1.394,1.39408,1.3944,337,m1,1.3937876719791853,1.3939135654702635,1.3939574985603993,0,0,1.3937876719791853,1.3939574985603993,1.7,1,0,1,1
89,202509261438,1.39413,1.39392,1.39395,1.39408,280,m1,1.3937892871833726,1.3939142869460999,1.39395731341076,0,0,1.3937892871833726,1.39395731341076,1.7,1,1,1,1
90,202509261439,1.39398,1.39362,1.39364,1.39395,353,m1,1.3937878017387622,1.3939088555214245,1.3939494785117288,0,0,1.3937878017387622,1.3939494785117288,1.6,0,1,-1,-1
91,202509261440,1.39377,1.39361,1.3937599999999999,1.39364,203,m1,1.3937875251045455,1.3939059078873368,1.3939448000299577,0,0,1.3937875251045455,1.3939448000299577,1.6,0,1,-1,-1
92,202509261441,1.39387,1.39371,1.39373,1.3937599999999999,160,m1,1.3937869527154456,1.393902424562835,1.3939394963255143,0,0,1.3937869527154456,1.3939394963255143,1.5,0,1,-1,-1
93,202509261442,1.39381,1.39353,1.39356,1.39373,295,m1,1.393784694479471,1.3938956438784225,1.393930126045872,0,0,1.393784694479471,1.393930126045872,1.5,0,1,-1,-1
94,202509261443,1.39383,1.39355,1.39383,1.39356,223,m1,1.3937851452806704,1.3938943439996418,1.393927653797826,0,0,1.3937851452806704,1.393927653797826,1.4,1,1,1,1
95,202509261444,1.39393,1.39375,1.39386,1.39383,279,m1,1.3937858901037483,1.393893663920441,1.3939259833336823,0,0,1.3937858901037483,1.3939259833336823,1.4,1,1,1,1
96,202509261445,1.39404,1.39375,1.39404,1.39386,233,m1,1.3937884185604275,1.3938965616645906,1.393928798560011,0,0,1.3937884185604275,1.393928798560011,1.4,1,0,1,1
